2.500976181030273438e+01,2.490406799316406250e+01,3.102675247192382812e+01,3.044998550415039062e+01
3.501736450195312500e+01,3.310841369628906250e+01,4.239499282836914062e+01,4.086173248291015625e+01
4.199525451660156250e+01,4.310610198974609375e+01,5.362586975097656250e+01,5.457207489013671875e+01
4.859204101562500000e+01,5.024898529052734375e+01,6.464091491699218750e+01,6.471754455566406250e+01
4.875858306884765625e+01,5.161174011230468750e+01,6.107192230224609375e+01,6.746398925781250000e+01
5.091348266601562500e+01,5.387643432617187500e+01,6.208325195312500000e+01,7.066941833496093750e+01
5.018296813964843750e+01,5.310870361328125000e+01,6.003993225097656250e+01,7.272183990478515625e+01
5.030690765380859375e+01,5.299473571777343750e+01,6.249785995483398438e+01,6.922177886962890625e+01
5.039816284179687500e+01,5.579072952270507812e+01,6.030028533935546875e+01,6.990287017822265625e+01
5.692507934570312500e+01,5.903209686279296875e+01,7.049357604980468750e+01,7.836711120605468750e+01
5.742976760864257812e+01,5.861855316162109375e+01,7.533777618408203125e+01,7.437602996826171875e+01
5.694513702392578125e+01,5.926278305053710938e+01,7.198849487304687500e+01,7.349336242675781250e+01
5.899394607543945312e+01,6.038652801513671875e+01,7.640036010742187500e+01,7.642735290527343750e+01
6.242712020874023438e+01,6.165438079833984375e+01,7.272943878173828125e+01,7.957963562011718750e+01
7.198471832275390625e+01,6.802828979492187500e+01,7.967768859863281250e+01,8.637750244140625000e+01
7.240364074707031250e+01,6.946622467041015625e+01,8.006665039062500000e+01,8.894333648681640625e+01
6.693363189697265625e+01,6.968368530273437500e+01,8.278295135498046875e+01,8.953794097900390625e+01
6.646490478515625000e+01,7.299705505371093750e+01,7.844749450683593750e+01,9.116958618164062500e+01
6.918055725097656250e+01,7.178301239013671875e+01,8.572949218750000000e+01,9.155752563476562500e+01
7.350455474853515625e+01,7.414438629150390625e+01,8.442261505126953125e+01,9.458409118652343750e+01
7.240425109863281250e+01,7.553001403808593750e+01,8.498983764648437500e+01,9.854877471923828125e+01
7.129937744140625000e+01,7.379737854003906250e+01,8.803397369384765625e+01,9.357693481445312500e+01
7.240654754638671875e+01,7.663423156738281250e+01,8.337109375000000000e+01,1.022768173217773438e+02
7.225198364257812500e+01,7.510568237304687500e+01,8.800089263916015625e+01,9.581761169433593750e+01
7.261407470703125000e+01,7.685501098632812500e+01,8.356604003906250000e+01,1.024133987426757812e+02
7.128498840332031250e+01,7.537498474121093750e+01,8.241470336914062500e+01,1.034341201782226562e+02
6.831893920898437500e+01,7.102668762207031250e+01,8.138334655761718750e+01,9.513426971435546875e+01
6.299390411376953125e+01,6.492483520507812500e+01,7.778683471679687500e+01,8.130596160888671875e+01
6.547703552246093750e+01,6.425965118408203125e+01,8.512824249267578125e+01,7.898971557617187500e+01
6.306244659423828125e+01,6.409763336181640625e+01,7.974990844726562500e+01,7.779310607910156250e+01
6.878771972656250000e+01,6.550931549072265625e+01,8.428346252441406250e+01,8.027734375000000000e+01
